start	end	text
20700	29980	I am Sal Segoyan, and thank you so much, Mac for having me back again to be part of your
30000	35400	family and to present. I really appreciate your hospitality and your
35400	42280	kindness and it's a great experience to be here always. Last time I was here I
42280	49379	was talking about the idea of automating the setup of iOS devices using Macs and
50020	55560	I went into detail about how you could set up your own system using Automator
55560	63800	and Apple Configurator. And we covered a lot of detail, and at the very end of
63800	69660	the talk I demonstrated how you could even automate Jamf processes using this
69660	74180	connectivity thing. And it was all about attaching a device and then something
74180	83580	happens. So today I'd like to go to the step beyond what I did previously. I'd
85560	92200	and show you what's new, what's coming up, and why it's there, and why it's important,
92200	99620	and how it came to be. And I think you might find it interesting along the way.
99840	109280	So let's begin. This year has been very tumultuous, a lot of turmoil. Everything
109280	117080	everything seems to be changing. Everything seems to be in flux, not only with the climate,
117160	123520	but in politics, economics, everything seems to be in a transition right now.
124160	131380	And it all really got to me when I saw this picture. How many of you have seen this picture
131380	139180	before? So a good number of you, but a lot haven't seen it. Let me explain a little bit about it.
139280	142080	But it's not a bunch of people waiting for a new iPhone.
144420	150560	This photo was taken by the gentleman down here near Malpurja, and he's a professional
150560	151560	mountain climber.
151720	156720	He climbed six of the world's tallest peaks within one month.
156940	158740	He's an absolutely amazing individual.
159000	165300	But this is on Mount Everest, and this is above 28,000 feet.
165300	172320	This is a line of people waiting to summit Mount Everest. And I looked at
172320	179840	this photo and it just was stunning because I realized that the enormity of
179840	186820	what this is saying. This is at 26,000 feet you enter something that's called
186820	193120	the death zone. And your body, once it hits that altitude, whether you're
193120	200420	breathing oxygen or not, starts eating itself, and it starts preparing to die, and eventually,
200440	206120	if you stay in the Death Zone you will perish. It's just a fact. Humans are not meant to be at
206120	212760	that altitude, and everybody in this photo, in order to be at that point on the mountain with
212760	220400	the sun shining, they had to reach the base camp four, which is above 26,000 feet in the Death
220400	227640	Zone the day before. So these guys have been in the Death Zone for 24 hours. And another thing
227640	234540	to realize is the standard protocol is if you fall down or something happens with your equipment,
234800	241060	everybody walks around you. Because at this altitude, they don't have the energy to be able
241060	247180	to pick you up and to help you. So they go around you. And that's standard procedure. A lot of
247180	251480	people will make the summit but not get down. You're not guaranteed to come back
251480	256399	down once you do get to the summit. So I'm looking at this and I said what in
256399	262700	the world is happening right now that this is what's going on on Mount
