start	end	text
0	1740	This is TWIT.
2720	8760	When I first got there, I got called into this meeting in the boardroom, and Steve was there.
8900	13640	And I was sitting next to Chris Espinoza, you know, and I'm like, wow, what am I doing here?
13760	17920	But apparently Steve was reviewing everything, and he was talking about it.
18040	22160	And he goes, and he laid it out to us right there in that meeting.
22160	27360	He said, we're going to beat these people, and we're going to beat them by moving faster.
27360	32860	We're going to innovate them, outmaneuver them, outdeliver them.
33040	34180	Who was them? Microsoft?
34700	36760	Everybody that we had to compete with.
37280	38680	Everybody we had to compete with.
38740	40980	Everybody that thought we were going to die.
41180	43580	And he had a fire in his eyes, right?
43580	44720	He wanted to save Apple.
44840	45380	Oh, yeah.
45580	49720	And actually, he felt very strongly that Apple had screwed the pooch for the last 10 years.
49840	51780	And thank God they brought me back.
52620	54160	Right? Didn't he?
54520	56860	You know, I'm glad he got back, too.
57960	59220	it changed everything.
59460	61380	So I turned to Espinosa and I said,
61440	63540	when was the last time you were in a meeting with Steve?
64140	64840	And, you know, if...
65260	67140	Espinosa is one of the original Mac engineers.
67340	69360	He has a brain that's like
69360	71220	a machine. And he goes,
71280	72680	oh, it was April 13th.
73780	75460	And I said, so what's the difference?
75740	77580	And he goes, they're not trying to get rid of them.
78160	78840	Big difference.
79660	81940	Now, he was at that point the I-CEO
81940	83680	and they kept pretending that this is
83680	85440	just temporary, I'm advising.
85860	87080	But they had acquired Next.
87360	88620	You know, we've seen recently.
88840	90220	Well, this was actually before that.
90260	91660	This was even before they acquired X.
91680	93160	Yeah, this is when he just got back.
93160	94300	What, they brought him as a consultant?
94980	98220	I don't even know if he had taken on a specific title.
98300	101220	they just, they said, come in, Steve, we're dying, please help.
101220	102160	And changed the company.
102360	107480	And at that time, Apple was like a lot of companies where you had little fiefdoms,
107520	110440	where people were in charge of their little thing,
110440	113600	and they weren't working as a cohesive unit.
113840	116060	And Steve was a very strong King
117360	121820	too he thought it had to be a hole it couldn't be and he just said well you know this is where
121820	126100	we're going I'm sorry your stuff's going to get cut but it's getting cut if you want if you don't
126100	133200	want to do that fine get somebody else we're going this way and the product managers like myself
134060	141220	had a role to play in that mobility of turning that ship yes guys like Mitchell Weinstock who
