start	end	text
7859	12840	Today's edition of Mac Voices is supported by Mac Voices Magazine, our free Flipboard
12840	17340	Magazine that brings you some of the best Mac, iPhone, and iPad productivity tips on
17340	17680	the web.
18520	24180	High in Signal low in noise, just like Mac Voices, Mac Voices Magazine includes information
24180	26700	on how you can get more out of your Apple technology.
26700	32299	Subscribe at macvoices.com slash magazine or search for Mac Voices Magazine on Flipboard.
34400	38780	Welcome to Mac Voices. This is the talk of the Apple community, and I'm Chuck Joyner.
39300	46400	Folks, we've been telling you a little bit about the Command D conference that's coming up in Santa Clara, California, August 9th.
47120	51740	August 8th is the scripting boot camp, but August 9th is the conference itself.
52599	58540	and it's a real honor for me to have Sal Segoyan on to talk about Command D but
58540	63500	also just to talk automation. Sal, it's great to see you. Thanks so much for
63500	69860	being here. Thank you, Chuck. I've always looked forward to being able to sit down
69860	74320	with you and have a conversation and this is an absolute joy for me. Thank you.
74740	79200	Well, I appreciate that. We got to have a little bit of a chat at WWDC which
79200	83500	seems like it was about three days ago and actually it was more like two months ago i can't
83500	89760	believe that much time has gone by um but you know that that we got a little taste of uh of what you
89760	94780	were doing with Omni and and their automation projects this is something that is completely
94780	99880	different this is a full conference just dedicated to automation with you of course being the featured
99880	108060	guy yes uh you know automation has been my passion and it's been what I've worked on for
109699	129259	And I really am welcoming the opportunity to give voice for the automation Community to get everybody together and talk about what's possible with Automation and what's coming up with Automation in the future and how it can be used on both Mac and iOS.
129660	137840	So this conference is a way to deliver that message and those ideas to the community at large.
139200	145660	If you were the only one speaking, it would be worth going, and I want to find out what you're going to cover.
146180	151260	But also, I'm so impressed with the panels of speakers that you've put together here.
151560	156340	So many names that are personal friends, but also that are well-known names.
156460	158100	Andy Anaco, Jason Snell.
159220	162120	I've got to look down the list because I don't want to leave anybody out.
162240	168760	David Sparks, John Pugh, John Welsh, Ray Robinson, even Allison Sheridan.
169200	176020	yes great great set of speakers oh and excuse me i did it i did it shall we Brisbane sorry sorry
176020	182020	shall we um so it's it feels like you're just going to hit every level of automation that
182020	188280	there's something here for everyone well that's my strategy for the conference was this is the
188280	196000	first time we're doing this conference and we need to take a global view of what is automation
196000	202780	on the Apple platform, and what do we have currently, and what's coming up.
203040	207940	So in order to accomplish that, we need to look at it through lots of different eyes.
208220	214520	And, you know, we have people on the panels like John Pugh, who were members of the original
214520	218740	AppleScript team that have a perspective like no one else could have.
218860	225500	And then each one of the people that are part of the panels brings a certain level of expertise
