start	end	text
0	6280	How does the other side of you, if at all, does it show up when either you're deep in a script
6280	10260	and you feel like that creative slice show up? Or when you're in the middle of, you know,
10360	14160	a jazz performance and you feel like the structural, you know, kind of comes in? How
14160	20640	do those two interplay for you? I think that when you use the analogy of left side, right side brain,
20780	26500	that's not really what's going on. What's really going on is there's two different roles that you
26500	34160	assume, Observer and participant. If we think of it that way, then it's pertinent to everything.
34520	38360	On today's episode of The Pro Guide, Wired Magazine calls him the Dean of Automation.
38540	42600	He served as Product Manager for Automation Technologies for Apple for over 20 years,
42960	51100	Sal Seguyan. Today's episode of The Pro Guide is brought to you by Small Pond Productions,
51340	56040	the producers of this podcast. If you're looking to boost your Brand's voice with professional
56500	60660	and podcast production. Whether it's an interview show or telling stories with audio,
60920	65820	we walk you through every step of the process to make you sound great. Head to our website
65820	70340	and download the free Podcasting Made Simple Guide. Eight critical things you need to know
70340	75240	before launching your Brand's podcast. It's all available at smallpond.productions.
77120	80880	Well, welcome everybody to this episode of The Pro Guide. My name's Andrew J. Mason,
80880	85920	Andrew today we're talking to Sal Segoian. He's the automation technology product manager for
86500	92720	20 years. Wired Magazine calls him the Dean of Automation. He's a musician with a love for piano
92720	97360	and guitar. He has two albums available for purchase on Apple Music under the band name
97360	102340	Blue Indigo, Catwalk, and To Be With You. And he also happens to be a self-taught programmer. We
102340	107580	get into some really cool questions and answers about right brain, left brain, logic, creativity,
107760	111880	interplay, and a lot of Sal's history that maybe you haven't heard yet so far. So I hope you enjoy
111880	118080	this interview with South Segoin. Talk to me about this journey of self-teaching AppleScript
119619	123260	and you kind of hit on it a little bit before we hit record, but I want to kind of dip back
123260	128160	into that too. And how did you end up on this path of AppleScript? My gosh.
132720	138040	AppleScript and I met each other totally by mistake on a whim.
138040	147320	um i used to live in a music Community an Arts community in Pennsylvania called Delaware Water
147320	152900	Gap that's the actual name of the town because you're right on the Delaware River where the Gap
152900	159940	is coming in between the mountains and it's in the Poconos and and it's a very famous Arts and
159940	166940	Music community and it has been for decades and decades and i was living over a bar
168420	179360	in there and i bought a a used Mac and uh i taught myself i mean i was basically you know
179940	183800	they're pressing it trying to figure it out i had no instruction or anything about it
184519	194760	and I i got a program called Ready Set Go which was a page layout program right the early stages
194760	200140	of page line there was either page maker or Ready set go and i i got ready set go and i taught myself
200140	206760	how to use it and i started making the menus for the bar right first thing I'm going to do is like
206760	213020	oh man take these old menus and i redid them you know and i learned about kerning and fonts and
214000	216740	and printed them out on a laser writer.
216880	218360	I had a laser writer and everything.
218680	223200	And the next thing I know, the other businesses around town
223780	227380	beside the bar I was living at started to ask me,
227460	229120	can you do my thing over again?
229240	231420	You know, the little video shop and the diner,
231520	232960	the Greek diner down the street.
233180	234860	And so I started doing this.
234920	236140	I went, wait a minute.
236340	238420	There's something going on here.
238740	239040	Yeah.
239720	247900	And it appealed to me because it was, you know, dealing with logic and and creativity and all those kind of things.
248260	258820	And I got pretty good at it. I moved to Charlottesville, Virginia, where I had lived before I had gone to the University of Virginia at one time.
259440	264540	And I got a job in a Print Service Bureau with this lady, Joe Gibson.
264540	271640	she had been in the print industry for 29 30 years and she taught me all the the real stuff
271640	278900	you know about line letting and all those kind of things but this was at the time of uh desktop
278900	284820	publishing was just starting to become a concept and we were getting in all these print jobs
284820	290860	because we had a line at tronic and i was constantly looking for new ways to do things
290860	296720	and automate things because when you got all these jobs coming in flight checking them all
296720	304400	is a pain and so i was working with developers of Quark extensions and I'm coming up with these
304400	311500	ideas and testing them for them and i happen to have this thing from Apple developer magazine
311500	317720	and it said apple script this english-like language that can control the actions of the
317720	326020	computer and the applications and I'm like huh so i i got the dvd you know or the cd or whatever it
326020	332820	was on and I'm sitting there it's late at night it's like after 11 o'clock at night or something
332820	338240	I'm sitting there and I'm trying to figure this out it says okay applications have dictionaries
338240	343900	and you should be able to write this sentence in this application called Script editor and run this
343900	348900	sentence and it should be able to control while i was using Quark Express was one of the apps we
348900	354900	were using in publishing and it was scriptable because Dave Dave and Ralph Rich had worked
354900	360880	with Tim Gill and put the dictionary in there and i also used FileMaker Pro which had some scripting
360880	368340	support and you could get a scriptable finder i paid the fourteen dollars to get a 400k
368979	376420	uh disk with the scriptable finder on it from Apple and so the first script i ever wrote was
376420	386400	for Quark Express and it was this set the color of the current box to Blue and so i wrote that
386400	394980	script and i read it and the box turned blue and i went oh okay all of a sudden everything in my
394980	402140	whole life just changed i like fired all my design clients i just worked constantly i lived in that
402140	410740	room for like months figuring this out like what is this because all of a sudden i had the power
411380	416340	to control the machine i didn't have to go to the developer i was working with and said you know
416340	424260	it'd be nice if it did this yes or can you make it do blah i mean there were great people to work
424980	432180	you know like uh you know some of the companies i was working with uh were really great and
432180	438820	interesting people to work with but this is mine that's right i could control this and so i started
438820	444620	working on it and with a bent towards you know design and publication because i was working in
444620	451580	a Print Service Bureau first thing i started doing was trying to figure out how to automate
451580	458660	real estate Publications because you know in the in the grocery stores they had these magazines with
458660	464420	house description house description house description you know that kind of stuff
464420	469280	and I'm looking at it going well that could just be a record in a FileMaker Pro database
469280	476220	and then this is a box so all I have to do is figure out some way to relate that box to this
476220	482140	well I could use the mls number and I'll put the mls number in a field over here and then I'll tag
482140	489340	the box with it because you could tag boxes and so i figured out how to write an apple script to
489340	496600	get the information from the database into the box and format it and started coming up with it and
496600	503220	then you know i explored that and i was able to do an entire page layout in 20 seconds and it was
503220	509820	accurate it wasn't any mistakes and i was like whoa okay so i started working on that
510740	517260	and then i got into well why can't we take images why do i have to like do all these half tones and
517260	524820	stuff it says i can scan it let me try this and sure enough it started working the local Real
524820	531300	Estate Group in in the county came to me and we started doing their real estate publication and
533220	537600	automated their cover. I did the first three colors. I mean,
537780	542380	full color cover that was split electronically, you know, all that.
543040	546200	And, uh, I started, uh, you know,
546260	550620	gaining a reputation and I was writing scripts for companies.
550620	555820	I got contacted by AT&T. AT&T says, can you write us a script?
556040	560280	We got 40 page documents and we have to find every occurrence of AT&T.
560280	566720	it has to be this blue it has to be this font turn this way with this and i said no problem
566720	572460	that'll be three thousand bucks and you know I'll write it in 10 minutes and then sit on it for a
572460	578960	week before i send it to him to make them think i worked on it now i said right yeah and i started
578960	584040	getting a reputation and i wrote i wrote the script for Better Homes and Gardens that did
584040	590660	the fractions for their recipes all this kind of stuff and i started developing this whole thing
590660	596500	and then i got queries from magazines can you write an article about this can you tell people
596500	601920	what you're doing I started writing magazine articles on automation with you know Apple
601920	609900	script and then i started getting asked to to speak at shows so i i you know i had a collection
609900	616280	of scripts i was selling to extension this this company that sold Quark extensions and i was
616280	622200	selling these Scripts and i would speak at shows and then Apple i noticed that my audience was
622200	628840	Apple Apple they would stand there and they'd like and they came to me and they said we want
628840	635140	you to join and i go well why would i want to do that you know you're asking me to take a 50
635140	642340	percent pay cut to join you you know and they basically threatened to kill the baby right they
642340	649620	said well Apple script's gonna die unless you come here and it was a basically a scheme by
650180	657920	shafas i had Chris Espinoza bom and Dara and you know a bunch of people to get me on board
657920	665460	And I joined Apple in January of 97 as the AppleScript product manager.
666420	677040	And at that time, it was like the Poseidon Adventure you know, where the columns were falling down and Shelley Winters was doing the breaststroke through the hallway, you know.
677400	678820	It was Insanity
678820	686900	it was really crazy but that was the best possible thing for me because it meant that all the
686900	693060	barriers were down and we could actually take a vision and move forward with it that's how i got
693060	699120	started with the whole thing yeah this uh this isn't on my list i first of all i love that little
699120	703440	detail about the them coming to you with a knife up to Apple script saying i swear I'll do it
703440	711160	basically yeah don't make me do this um but i i do appreciate uh when you talk about the vision
711160	715080	for what it could be what what did that look like to you for Apple script you know you have in your
715080	721840	mind uh they say you know everything's on the table it's all available and it's up to you know
721840	725420	you have this vision for where you think it could go what were you picturing when when that was
725420	738480	happening well one of the things that I've I've just had as part of my life i think you know was
738480	743560	taught to me by my father was to look for the underlying principle behind something
744500	751100	you see something working and you would look at it and go why is that doing what it does
751100	756660	why is it having that effect let's look behind here and figure this out you know why does the
756660	765020	clock do this why does the drawer come out like that and the underlying principle behind Apple
765020	770940	script was this empowerment that you could have access to the apis of the operating system
770940	778700	or the applications in a way that wasn't so complex that you had to write code and compile
778700	785800	and do all those kind of things so if you got that concept then you want to have it apply to
785800	796440	everything but what happened is is when i joined Apple it was really more of a rather than a
796440	804200	technological challenge it was more of a political challenge because at that time apple script was
804200	811920	not part of the operating system. We're talking like System 7, right? Before System 8. I got there
811920	819540	just before System 8. System 8 was the first one that I was involved in. And it was not part of
819540	826740	the operating system. It was an extra that you got that you had to buy. And so I soon discovered that
826740	832700	the way that Apple work is, you know, if you have a technology, you have something and it doesn't
834200	841820	it, then it can die quickly. You know, you need somebody like a member of Congress to represent
841820	848760	that technology and to protect it and to make the deals necessary to advance it forward.
849020	853940	So the first challenge I had with AppleScript when I got there was just keeping it alive.
