start	end	text
0	1800	This is Twit.
2760	7120	Being in the print industry, we get hundreds of jobs coming through,
7180	11340	and you have to review each one and figure out what's going on with it,
11500	13780	and is the file set up correctly and those kind of things.
13820	17200	And I was always looking for ways to automate that process.
17560	22240	So I got into, you know, working with Quark extension developers,
23400	26060	and that helped automate it some.
26060	38300	But then in 1993, I saw an ad in the Apple developer brochure about this amazing English-like language that could control the action of the computers and the apps that are on it.
38640	47440	So I sent in the money and I paid an extra $15 for a scriptable finder, which came on like a 400K floppy, right?
47780	49620	Was this from Apple or a third party?
49820	50680	This was from Apple.
50680	61140	And so I got the AppleScript disk, and at that time, the app that was really powerful, that was scriptable, was QuarkXPress.
61320	62900	Which was used for page layout.
63180	63540	Yes.
63760	66000	It took over from PageMaker.
66140	66220	Yeah, pretty much took over.
66220	70780	All this PageMaker was the dominant program, but right about that time, Quark kind of took over.
70920	78100	Dave Shaver and Ralph Risch had implemented Apple Event Scripting, AppleScript, in QuarkXPress with Tim Gill's help.
78300	78440	Right.
78440	85120	right And so I remember it was in the evening, was after the day and I was sitting there alone
85120	90040	at night and I'm going through this, trying to figure out what this is all about. And it says,
90160	96160	okay, there's a dictionary and this should be called a box. And then, okay, it has properties.
96160	101140	All right. So I write my first script. So I selected a box. And you've not been a programmer
101140	106460	in the past. No, no programming at all. no programming at all. And I drew out a box and
109280	117220	was set the color of the current box to blue you remember it i remember it it's infused in my brain
117220	125540	and i ran that and that box changed Boing and i really yeah yes at that point i let go all my
125540	131720	clients i would had a business doing you know desktop publishing design business and i let go
131720	136740	all my clients and i just focused on learning everything i could possibly learn about AppleScript
138440	142500	that just because you loved it or did you see a like you see how it could be used what was it
142500	152640	that got you it it hit a profound concept within me it opened up a profound concept that has stayed
152640	158760	with me my entire professional life which is that the power of the computer should reside
158760	165680	in the hands of the one using it i don't have to go to a developer and say please can you make this
165680	173600	so that this does this or can you alter your application so that i can do this it put all that
173600	182240	power in my hands and for me that was an awakening and after that i started developing automation
182240	188860	around the print industry because i was in it and i expanded out into other industries too like
188860	195880	media production and video production to automate them. And Apple noticed me because I was writing
195880	201280	books on the topic and I'd be at the same trade shows as them. And my audience would be the Apple
201280	205240	employees standing there watching this. Because they probably didn't know all the things you could
205240	210160	do with this stuff. There was maybe a handful of guys that knew it was in the system, but they
210160	215320	would stand there and eventually they started to ask me, would I join? And I said, well, why should
215320	222920	I'd join. I'd take a 50% pay cut to work for you. I don't want to do that. And then over a period of
222920	233140	time, about a year, it was a group effort by Shafaa Syed, Bamandara, and Guy Kawasaki, and a
233140	240560	couple other people, and Chris Espinoza. They got me on board at Apple, and I joined at like the
240560	249260	worst time. Steve had left. Yeah, I joined in January of 97. So Apple had the word beleaguered
249260	257220	tattooed. This is the beleaguered years. And if you look at where I was hired, I was hired in
257220	264320	January. And at one point, Apple put out these boards on campus that all the employees could see
264320	270280	had a list of every Apple employee and when in order of their hiring. And so there was like
270560	275920	boards around campus and everybody was walking around looking for their name, right? And I was
275920	282540	over here like on board number two. And if you look after my name, then it's like Craig Feguerini
282540	289120	and Avi and all the next guys. Yeah. So I was like the last hire, one of the last hires
289120	299320	before everything opened up. And so automation to me came from a very personal basis. I was always
300560	308020	from the the aspect of getting stuff done in the real world and that knowledge about what
308020	316060	customers needed and how it gets used in the end was essential to my role at Apple when i came on
316060	322660	board to you know to protect this technology because at that time Apple script was not
322660	324420	part of the operating system
331560	331880	you
